Entity	Year	Annual COâ‚‚ emissions (per capita)
South Sudan	2022	1680176
Spain	2022	51644425
Sri Lanka	2022	7936504
Sudan	2022	4696261
Suriname	2022	58029985
Sweden	2022	36069093
Switzerland	2022	40478554
Syria	2022	12490375
Taiwan	2022	11630868
Tajikistan	2022	10064901
Tanzania	2022	23771806
Thailand	2022	37762568
Togo	2022	2910665
Tonga	2022	17686282
Trinidad and Tobago	2022	22423758
Tunisia	2022	2879285
Turkey	2022	51052055
Turkmenistan	2022	1103418
Turks and Caicos Islands	2022	7636793
Tuvalu	2022	10004411
Uganda	2022	12744623
Ukraine	2022	35578535
United Arab Emirates	2022	25833244
United Kingdom	2022	47201805
United States	2022	14949616
Upper-middle-income countries	2022	62268133
Uruguay	2022	23060381
Uzbekistan	2022	34830604
Vanuatu	2022	6363055
Venezuela	2022	27168686
Vietnam	2022	34995174
Wallis and Futuna	2022	22819076
World	2022	4658219
Yemen	2022	33701748
Zambia	2022	44570068
Zimbabwe	2022	542628
Afghanistan	2021	30631703
Africa	2021	10311713
Albania	2021	17177409
Algeria	2021	4079527
Andorra	2021	45922055
Angola	2021	50735646
Anguilla	2021	8726662
Antigua and Barbuda	2021	6400294
Argentina	2021	41907597
Armenia	2021	253107
Aruba	2021	8052776
Asia	2021	4567902
Asia (excl. China and India)	2021	39939396
Australia	2021	14914762
Austria	2021	73994617
Azerbaijan	2021	37170222
Bahamas	2021	5149713
Bahrain	2021	26052996
Bangladesh	2021	5831512
Barbados	2021	4361222
Belarus	2021	6362195
Belgium	2021	823914
Belize	2021	17549852
Benin	2021	6395752
Bermuda	2021	6873079
Bhutan	2021	13661479
Bolivia	2021	17985878
Bonaire Sint Eustatius and Saba	2021	40947623
Bosnia and Herzegovina	2021	60954695
Botswana	2021	23707244
Brazil	2021	23198576
British Virgin Islands	2021	49880238
Brunei	2021	25375603
Bulgaria	2021	6140389
Burkina Faso	2021	2659974
Burundi	2021	6373885
Cambodia	2021	12134761
Cameroon	2021	37861246
Canada	2021	14078721
Cape Verde	2021	9505422
Central African Republic	2021	4567115
Chad	2021	14357351
Chile	2021	45675793
China	2021	79502664
Colombia	2021	18589207
Comoros	2021	5052505
Congo	2021	12433366
Cook Islands	2021	40415196
Costa Rica	2021	14853407
Cote d'Ivoire	2021	42686108
Croatia	2021	4288185
Cuba	2021	18603169
Curacao	2021	9144556
Cyprus	2021	56497326
Czechia	2021	9196797
Democratic Republic of Congo	2021	41094083
Denmark	2021	5057577
Djibouti	2021	41140705
Dominica	2021	20959618
Dominican Republic	2021	21393347
East Timor	2021	5024414
Ecuador	2021	22324002
Egypt	2021	22595594
El Salvador	2021	11858464
Equatorial Guinea	2021	3444009
Eritrea	2021	1934708
Estonia	2021	78421664
Eswatini	2021	9489723
Ethiopia	2021	15729143
Europe	2021	71178274
Europe (excl. EU-27)	2021	83205805
Europe (excl. EU-28)	2021	92291355
European Union (27)	2021	63043566
European Union (28)	2021	6154652
Faroe Islands	2021	13923651
Fiji	2021	11742574
Finland	2021	68546104
France	2021	47538953
French Polynesia	2021	29048145
Gabon	2021	25117075
Gambia	2021	2867638
Georgia	2021	2942033
Germany	2021	8138241
Ghana	2021	63856685
Greece	2021	5510225
Greenland	2021	10072068
Grenada	2021	26466973
Guatemala	2021	1117814
Guinea	2021	35968435
Guinea-Bissau	2021	15579237
Guyana	2021	44295645
Haiti	2021	2118702
High-income countries	2021	10209253
Honduras	2021	10541441
Hong Kong	2021	43732305
Hungary	2021	50015383
Iceland	2021	9477966
India	2021	18998938
Indonesia	2021	22499223
Iran	2021	7825858
Iraq	2021	38725574
Ireland	2021	75297494
Israel	2021	6162786
Italy	2021	5692572
Jamaica	2021	2337014
Japan	2021	8523455
Jordan	2021	20332546
Kazakhstan	2021	1329114
Kenya	2021	46141472
Kiribati	2021	53396493
Kosovo	2021	4866548
Kuwait	2021	24301199
Kyrgyzstan	2021	14451864
Laos	2021	31470437
Latvia	2021	3863811
Lebanon	2021	41969266
Lesotho	2021	10872496
Liberia	2021	16660595
Libya	2021	9491187
Liechtenstein	2021	37350607
Lithuania	2021	4962828
Low-income countries	2021	28716096
Lower-middle-income countries	2021	17749473
Luxembourg	2021	1318523
Macao	2021	15566095
Madagascar	2021	1475559
Malawi	2021	104497075
Malaysia	2021	83059
Maldives	2021	32992737
Mali	2021	31628212
Malta	2021	3050259
Marshall Islands	2021	36348102
Mauritania	2021	96533614
Mauritius	2021	31494038
Mexico	2021	36998608
Micronesia (country)	2021	13516612
Moldova	2021	18281678
Mongolia	2021	114274645
Montenegro	2021	3670829
Montserrat	2021	4773321
Morocco	2021	19592135
Mozambique	2021	22415766
Myanmar	2021	6620929
Namibia	2021	14751465
Nauru	2021	4270805
Nepal	2021	52033556
Netherlands	2021	7993908
New Caledonia	2021	15763163
New Zealand	2021	66900215
Nicaragua	2021	7859384
Niger	2021	120342515
Nigeria	2021	6143976
Niue	2021	39075115
North America	2021	10459453
North America (excl. USA)	2021	45687184
North Korea	2021	19766082
North Macedonia	2021	36555693
Norway	2021	75935297
Oceania	2021	9883469
Oman	2021	15677213
Pakistan	2021	96563566
Palau	2021	12285263
Palestine	2021	66772425
Panama	2021	26906164
Papua New Guinea	2021	7986589
Paraguay	2021	13819655
Peru	2021	16749027
Philippines	2021	1253542
Poland	2021	864257
Portugal	2021	38812351
Qatar	2021	39884155
Romania	2021	39936028
Russia	2021	1179849
Rwanda	2021	11539575
Saint Helena	2021	3252395
Saint Kitts and Nevis	2021	4669984
Saint Lucia	2021	25940566
Saint Pierre and Miquelon	2021	10164606
Saint Vincent and the Grenadines	2021	22671938
Samoa	2021	1153368
Sao Tome and Principe	2021	6530446
Saudi Arabia	2021	17564127
Senegal	2021	6837955
Serbia	2021	60171556
Seychelles	2021	62225175
Sierra Leone	2021	13179387
Singapore	2021	9397426
Sint Maarten (Dutch part)	2021	14263612
Slovakia	2021	64554424
Slovenia	2021	6162082
Solomon Islands	2021	42669472
Somalia	2021	3812561
South Africa	2021	71663837
South America	2021	250236
South Korea	2021	11886425
South Sudan	2021	17157483
Spain	2021	4849112
Sri Lanka	2021	92399746
Sudan	2021	48590592
Suriname	2021	60075874
Sweden	2021	36805615
Switzerland	2021	4117553
Syria	2021	12763344
Taiwan	2021	12204635
Tajikistan	2021	10236204
Tanzania	2021	24245292
Thailand	2021	37320516
Togo	2021	29565188
Tonga	2021	18028463
Trinidad and Tobago	2021	23289734
Tunisia	2021	28740463
Turkey	2021	5340025
Turkmenistan	2021	11033806
Turks and Caicos Islands	2021	7665116
Tuvalu	2021	10214623
Uganda	2021	13200122
Ukraine	2021	48276234
United Arab Emirates	2021	25333178
United Kingdom	2021	5164383
United States	2021	149324875
Upper-middle-income countries	2021	61854787
Uruguay	2021	2364734
Uzbekistan	2021	34149938
Vanuatu	2021	6588834
Venezuela	2021	25394876
Vietnam	2021	36171148
Wallis and Futuna	2021	22964647
World	2021	4654845
Yemen	2021	3513444
Zambia	2021	44487745
Zimbabwe	2021	5249723
Afghanistan	2020	30503938
Africa	2020	9982174
Albania	2020	17506745
Algeria	2020	39099252
Andorra	2020	48084607
Angola	2020	50151193
Anguilla	2020	9152959
Antigua and Barbuda	2020	66818023
Argentina	2020	37054682
Armenia	2020	24233668
Aruba	2020	8352506
Asia	2020	44004188
Asia (excl. China and India)	2020	3900581
Australia	2020	15453229
Austria	2020	69738197
Azerbaijan	2020	35147688
Bahamas	2020	53723545
Bahrain	2020	25310665
Bangladesh	2020	5591592
Barbados	2020	4394483
Belarus	2020	61300716
Belgium	2020	7879573
Belize	2020	15530106
Benin	2020	6125594
Bermuda	2020	7150552
Bhutan	2020	1190612
Bolivia	2020	15353591
Bonaire Sint Eustatius and Saba	2020	43389106
Bosnia and Herzegovina	2020	62776484
Botswana	2020	21799212
Brazil	2020	20849533
British Virgin Islands	2020	52116117
Brunei	2020	251325
Bulgaria	2020	5234656
Burkina Faso	2020	24133267
Burundi	2020	60208857
Cambodia	2020	11608452
Cameroon	2020	36622167
Canada	2020	13799503
Cape Verde	2020	88668585
Central African Republic	2020	44574007
Chad	2020	13693357
Chile	2020	415424
China	2020	7659333
Colombia	2020	17618332
Comoros	2020	47267568
Congo	2020	12962588
Cook Islands	2020	38681524
Costa Rica	2020	13201325
Cote d'Ivoire	2020	41096124
Croatia	2020	41179047
Cuba	2020	18828136
Curacao	2020	9542373
Cyprus	2020	55843916
Czechia	2020	8707416
Democratic Republic of Congo	2020	3995253
Denmark	2020	48577814
Djibouti	2020	35082307
Dominica	2020	2187888
Dominican Republic	2020	2136578
East Timor	2020	49730384
Ecuador	2020	18710657
Egypt	2020	21182494
El Salvador	2020	10479546
Equatorial Guinea	2020	34615319
Eritrea	2020	18024033
Estonia	2020	6949406
Eswatini	2020	9247956
Ethiopia	2020	15197527
Europe	2020	6731591
Europe (excl. EU-27)	2020	7949374
Europe (excl. EU-28)	2020	8830373
European Union (27)	2020	5906191
European Union (28)	2020	576995
Faroe Islands	2020	14463158
Fiji	2020	11309409
Finland	2020	68243456
France	2020	4366297
French Polynesia	2020	28031993
Gabon	2020	25860782
Gambia	2020	27188137
Georgia	2020	2807964
Germany	2020	7767432
Ghana	2020	59564954
Greece	2020	52909575
Greenland	2020	958365
Grenada	2020	23405137
Guatemala	2020	99851304
Guinea	2020	34072992
Guinea-Bissau	2020	14722605
Guyana	2020	3999438
Haiti	2020	22221673
High-income countries	2020	9701161
Honduras	2020	94115144
Hong Kong	2020	44657145
Hungary	2020	48546357
Iceland	2020	9107512
India	2020	17341554
Indonesia	2020	22290483
Iran	2020	77787347
Iraq	2020	37559109
Ireland	2020	71012745
Israel	2020	63599873
Italy	2020	5097115
Jamaica	2020	22913485
Japan	2020	8302111
Jordan	2020	19333241
Kazakhstan	2020	13461358
Kenya	2020	42285332
Kiribati	2020	52147096
Kosovo	2020	50585814
Kuwait	2020	22408785
Kyrgyzstan	2020	12994561
Laos	2020	26880474
Latvia	2020	36898801
Lebanon	2020	39343011
Lesotho	2020	9639094
Liberia	2020	15123484
Libya	2020	7073712
Liechtenstein	2020	36595674
Lithuania	2020	48004904
Low-income countries	2020	27861932
Lower-middle-income countries	2020	16759695
Luxembourg	2020	12797711
Macao	2020	15278246
Madagascar	2020	14044012
Malawi	2020	96544944
Malaysia	2020	8109902
Maldives	2020	320497
Mali	2020	30241865
Malta	2020	30991688
Marshall Islands	2020	3374082
Mauritania	2020	91546965
Mauritius	2020	29332778
Mexico	2020	35102782
Micronesia (country)	2020	13071826
Moldova	2020	16990237
Mongolia	2020	11254686
Montenegro	2020	38267505
Montserrat	2020	48572693
Morocco	2020	1759688
Mozambique	2020	20450525
Myanmar	2020	64784175
Namibia	2020	14791858
Nauru	2020	4157225
Nepal	2020	50777215
Netherlands	2020	78398657
New Caledonia	2020	17838543
New Zealand	2020	6764759
Nicaragua	2020	7028534
Niger	2020	11575344
Nigeria	2020	59436333
Niue	2020	37330616
North America	2020	9889759
North America (excl. USA)	2020	44100537
North Korea	2020	19257522
North Macedonia	2020	32941804
Norway	2020	7663988
Oceania	2020	1024328
Oman	2020	14400839
Pakistan	2020	88294756
Palau	2020	11806878
Palestine	2020	6628098
Panama	2020	24041464
Papua New Guinea	2020	7922191
Paraguay	2020	11129478
Peru	2020	14101644
Philippines	2020	11841508
Poland	2020	7870152
Portugal	2020	4048791
Qatar	2020	3713288
Romania	2020	38075497
Russia	2020	1121384
Rwanda	2020	10434921
Saint Helena	2020	3362702
Saint Kitts and Nevis	2020	4842697
Saint Lucia	2020	2698251
Saint Pierre and Miquelon	2020	10503879
Saint Vincent and the Grenadines	2020	23459349
Samoa	2020	11251081
Sao Tome and Principe	2020	63678026
Saudi Arabia	2020	16967278
Senegal	2020	6583641
Serbia	2020	61388555
Seychelles	2020	5762698
Sierra Leone	2020	12459599
Singapore	2020	9274892
Sint Maarten (Dutch part)	2020	14945506
Slovakia	2020	5698817
Slovenia	2020	607037
Solomon Islands	2020	41877437
Somalia	2020	36114853
South Africa	2020	73948026
South America	2020	22294097
South Korea	2020	11527397
South Sudan	2020	15960138
Spain	2020	4510309
Sri Lanka	2020	9497855
Sudan	2020	46190912
Suriname	2020	4806618
Sweden	2020	35381036
Switzerland	2020	39630482
Syria	2020	12667042
Taiwan	2020	11409406
Tajikistan	2020	9744041
Tanzania	2020	22962135
Thailand	2020	38034203
Togo	2020	28204852
Tonga	2020	17403696
Trinidad and Tobago	2020	23074036
Tunisia	2020	2342881
Turkey	2020	4907883
Turkmenistan	2020	10830831
Turks and Caicos Islands	2020	8106011
Tuvalu	2020	9911632
Uganda	2020	124725975
Ukraine	2020	47102127
United Arab Emirates	2020	2334033
United Kingdom	2020	48652816
United States	2020	14034053
Upper-middle-income countries	2020	59470816
Uruguay	2020	18888899
Uzbekistan	2020	32699935
Vanuatu	2020	6465315
Venezuela	2020	2174631
Vietnam	2020	37594166
Wallis and Futuna	2020	21960785
World	2020	44647303
Yemen	2020	33713207
Zambia	2020	4302868
Zimbabwe	2020	500945
Afghanistan	2019	29340136
Africa	2019	10992943
Albania	2019	16795896
Algeria	2019	418161
Andorra	2019	63337045
Angola	2019	59412795
Anguilla	2019	9511942
Antigua and Barbuda	2019	69599576
Argentina	2019	39894862
Armenia	2019	22279305
Aruba	2019	8363411
Asia	2019	4506658
Asia (excl. China and India)	2019	4126542
Australia	2019	16398174
Austria	2019	76527734
Azerbaijan	2019	36879485
Bahamas	2019	60679793
Bahrain	2019	25152763
Bangladesh	2019	60895467
Barbados	2019	5948457
Belarus	2019	64189095
Belgium	2019	8641646
Belize	2019	18173902
Benin	2019	5789981
Bermuda	2019	9298764
Bhutan	2019	19005703
Bolivia	2019	19193769
Bonaire Sint Eustatius and Saba	2019	42942533
Bosnia and Herzegovina	2019	61922417
Botswana	2019	27131457
Brazil	2019	22356122
British Virgin Islands	2019	5382782
Brunei	2019	24500765
Bulgaria	2019	59883013
Burkina Faso	2019	26286796
Burundi	2019	58007695
Cambodia	2019	11241276
Cameroon	2019	37203085
Canada	2019	1541972
Cape Verde	2019	97150093
Central African Republic	2019	4360792
Chad	2019	14281341
Chile	2019	48308606
China	2019	75401316
Colombia	2019	18829013
Comoros	2019	39373294
Congo	2019	13086569
Cook Islands	2019	4918695
Costa Rica	2019	15140803
Cote d'Ivoire	2019	402909
Croatia	2019	43240995
Cuba	2019	19987116
Curacao	2019	11611328
Cyprus	2019	59750137
Czechia	2019	9588486
Democratic Republic of Congo	2019	39954364
Denmark	2019	534005
Djibouti	2019	4177071
Dominica	2019	24103239
Dominican Republic	2019	2607516
East Timor	2019	5274983
Ecuador	2019	2310065
Egypt	2019	24251409
El Salvador	2019	1202131
Equatorial Guinea	2019	29863906
Eritrea	2019	18523079
Estonia	2019	9286828
Eswatini	2019	95858824
Ethiopia	2019	1461173
Europe	2019	7276999
Europe (excl. EU-27)	2019	8383826
Europe (excl. EU-28)	2019	921317
European Union (27)	2019	65258102
European Union (28)	2019	63870244
Faroe Islands	2019	14313607
Fiji	2019	15330331
Finland	2019	76887984
France	2019	4898306
French Polynesia	2019	2921616
Gabon	2019	24193206
Gambia	2019	28331983
Georgia	2019	28870666
Germany	2019	8508805
Ghana	2019	5208505
Greece	2019	62189636
Greenland	2019	9926084
Grenada	2019	26867204
Guatemala	2019	11400281
Guinea	2019	3044799
Guinea-Bissau	2019	16363285
Guyana	2019	34500709
Haiti	2019	27700275
High-income countries	2019	10671261
Honduras	2019	1126517
Hong Kong	2019	5589584
Hungary	2019	5046203
Iceland	2019	9863829
India	2019	18891369
Indonesia	2019	24144928
Iran	2019	802487
Iraq	2019	45618486
Ireland	2019	7623691
Israel	2019	68145585
Italy	2019	5699218
Jamaica	2019	27803972
Japan	2019	8780706
Jordan	2019	231137
Kazakhstan	2019	14678785
Kenya	2019	38858923
Kiribati	2019	53079224
Kosovo	2019	4973549
Kuwait	2019	24519451
Kyrgyzstan	2019	14305534
Laos	2019	27085655
Latvia	2019	39918807
Lebanon	2019	44382133
Lesotho	2019	1073333
Liberia	2019	2045213
Libya	2019	10736264
Liechtenstein	2019	38707013
Lithuania	2019	4800764
Low-income countries	2019	29611948
Lower-middle-income countries	2019	1793369
Luxembourg	2019	15757939
Macao	2019	18274176
Madagascar	2019	15459047
Malawi	2019	8673756
Malaysia	2019	8154313
Maldives	2019	3870847
Mali	2019	28358406
Malta	2019	32736566
Marshall Islands	2019	32750838
Mauritania	2019	8608683
Mauritius	2019	34879518
Mexico	2019	3744022
Micronesia (country)	2019	13157139
Moldova	2019	17671684
Mongolia	2019	14618863
Montenegro	2019	39290168
Montserrat	2019	48551235
Morocco	2019	18935199
Mozambique	2019	23447111
Myanmar	2019	6338007
Namibia	2019	16802846
Nauru	2019	4521224
Nepal	2019	47081903
Netherlands	2019	8783454
New Caledonia	2019	1987871
New Zealand	2019	74367194
Nicaragua	2019	78370583
Niger	2019	10720992
Nigeria	2019	6263395
Niue	2019	37714875
North America	2019	1106931
North America (excl. USA)	2019	4870742
North Korea	2019	2048663
North Macedonia	2019	3616904
Norway	2019	8001257
Oceania	2019	10930183
Oman	2019	12866547
Pakistan	2019	9228277
Palau	2019	12254864
Palestine	2019	6650818
Panama	2019	31614068
Papua New Guinea	2019	8191921
Paraguay	2019	12460468
Peru	2019	17780743
Philippines	2019	13060241
Poland	2019	8252866
Portugal	2019	46155887
Qatar	2019	35985134
Romania	2019	39379425
Russia	2019	11698944
Rwanda	2019	10695215
Saint Helena	2019	26793418
Saint Kitts and Nevis	2019	52957954
Saint Lucia	2019	28106656
Saint Pierre and Miquelon	2019	11080646
Saint Vincent and the Grenadines	2019	21647418
Samoa	2019	12794564
Sao Tome and Principe	2019	6658341
Saudi Arabia	2019	19737017
Senegal	2019	7945249
Serbia	2019	5982725
Seychelles	2019	568628
Sierra Leone	2019	124761686
Singapore	2019	57579384
Sint Maarten (Dutch part)	2019	16018604
Slovakia	2019	61934304
Slovenia	2019	66446157
Solomon Islands	2019	43425184
Somalia	2019	39892595
South Africa	2019	8012615
South America	2019	24930851
South Korea	2019	12472093
South Sudan	2019	17044018
Spain	2019	5318343
Sri Lanka	2019	98071545
Sudan	2019	50361913
Suriname	2019	4390763
Sweden	2019	39936066
Switzerland	2019	42827263
Syria	2019	14268457
Taiwan	2019	11521448
Tajikistan	2019	94856703
Tanzania	2019	22954242
Thailand	2019	395287
Togo	2019	29297218
Tonga	2019	15359025
Trinidad and Tobago	2019	2683153
Tunisia	2019	2519102
Turkey	2019	48237195
Turkmenistan	2019	10607364
Turks and Caicos Islands	2019	8415367
Tuvalu	2019	10008194
Uganda	2019	13345863
Ukraine	2019	5020078
United Arab Emirates	2019	23834637
United Kingdom	2019	54621234
United States	2019	15739861
Upper-middle-income countries	2019	60323076
Uruguay	2019	18929877
Uzbekistan	2019	32880268
Vanuatu	2019	5416308
Venezuela	2019	3024043
Vietnam	2019	35686002
Wallis and Futuna	2019	21855986
World	2019	4770166
Yemen	2019	37522772
Zambia	2019	421688
Zimbabwe	2019	63664466
Afghanistan	2018	29487586
Africa	2018	10491422
Albania	2018	17013975
Algeria	2018	40850997
Andorra	2018	65922117
Angola	2018	6853864
Anguilla	2018	8677324
Antigua and Barbuda	2018	67167735
Argentina	2018	4066307
Armenia	2018	20538187
Aruba	2018	822827
Asia	2018	4445855
Asia (excl. China and India)	2018	4134928
Australia	2018	16627844
Austria	2018	7530316
Azerbaijan	2018	34056387
Bahamas	2018	6025971
Bahrain	2018	21943077
Bangladesh	2018	5043604
Barbados	2018	59191213
Belarus	2018	6410857
Belgium	2018	8731839
Belize	2018	1582303
Benin	2018	6226188
Bermuda	2018	10947461
Bhutan	2018	19390228
Bolivia	2018	19386426
Bonaire Sint Eustatius and Saba	2018	39579115
Bosnia and Herzegovina	2018	64924054
Botswana	2018	30612
Brazil	2018	22743797
British Virgin Islands	2018	531032
Brunei	2018	21516985
Bulgaria	2018	61089005
Burkina Faso	2018	24567921
Burundi	2018	5612558
Cambodia	2018	8694936
Cameroon	2018	3846387
Canada	2018	15581538
Cape Verde	2018	94292635
Central African Republic	2018	43149922
Chad	2018	15274785
Chile	2018	4515097
China	2018	7306582
Colombia	2018	17678044
Comoros	2018	37757528
Congo	2018	12028803
Cook Islands	2018	4665895
Costa Rica	2018	15895244
Cote d'Ivoire	2018	4060735
Croatia	2018	42601137
Cuba	2018	20420773
Curacao	2018	23344528
Cyprus	2018	6007151
Czechia	2018	10096103
Democratic Republic of Congo	2018	38755305
Denmark	2018	60015297
Djibouti	2018	4113473
Dominica	2018	22757764
Dominican Republic	2018	23924725
East Timor	2018	48898363
Ecuador	2018	22584543
Egypt	2018	23511286
El Salvador	2018	9978113
Equatorial Guinea	2018	40000267
Eritrea	2018	18082562
Estonia	2018	13527124
Eswatini	2018	89040095
Ethiopia	2018	14387688
Europe	2018	75211334
Europe (excl. EU-27)	2018	8500749
Europe (excl. EU-28)	2018	9286491
European Union (27)	2018	68556
European Union (28)	2018	67073774
Faroe Islands	2018	1423108
Fiji	2018	15343895
Finland	2018	8291232
France	2018	5010727
French Polynesia	2018	29423785
Gabon	2018	2497233
Gambia	2018	26525575
Georgia	2018	26674635
Germany	2018	9105443
Ghana	2018	49216223
Greece	2018	67505913
Greenland	2018	97338705
Grenada	2018	25257974
Guatemala	2018	10979586
Guinea	2018	25185698
Guinea-Bissau	2018	16179088
Guyana	2018	31863892
Haiti	2018	3096648
High-income countries	2018	10975433
Honduras	2018	10069852
Hong Kong	2018	56940813
Hungary	2018	50667534
Iceland	2018	10395095
India	2018	18941209
Indonesia	2018	2224542
Iran	2018	82952
Iraq	2018	4526985
Ireland	2018	8069606
Israel	2018	70934634
Italy	2018	58423834
Jamaica	2018	28758495
Japan	2018	9042501
Jordan	2018	24036617
Kazakhstan	2018	16569881
Kenya	2018	37711197
Kiribati	2018	53936994
Kosovo	2018	47045703
Kuwait	2018	2444828
Kyrgyzstan	2018	17950532
Laos	2018	2893467
Latvia	2018	40622435
Lebanon	2018	4396047
Lesotho	2018	10785148
Liberia	2018	8626178
Libya	2018	8339181
Liechtenstein	2018	37416568
Lithuania	2018	46711226
Low-income countries	2018	2939802
Lower-middle-income countries	2018	17648531
Luxembourg	2018	15748627
Macao	2018	19079933
Madagascar	2018	14122182
Malawi	2018	93806386
Malaysia	2018	8092997
Maldives	2018	3553483
Mali	2018	24624196
Malta	2018	31463923
Marshall Islands	2018	3185256
Mauritania	2018	8580114
Mauritius	2018	3442285
Mexico	2018	3792204
Micronesia (country)	2018	12879895
Moldova	2018	17332046
Mongolia	2018	14322292
Montenegro	2018	3800595
Montserrat	2018	669071
Morocco	2018	17343042
Mozambique	2018	23824759
Myanmar	2018	6458973
